Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID version	Gene name
ENSG00000107874	10	104183002	104192418	ENSG00000107874.6	CUEDC2
ENSG00000107882	10	104263744	104393292	ENSG00000107882.7	SUFU
ENSG00000107890	10	27280843	27389421	ENSG00000107890.12	ANKRD26
ENSG00000107897	10	27484146	27531059	ENSG00000107897.14	ACBD5
ENSG00000107902	10	126150403	126306457	ENSG00000107902.9	LHPP
ENSG00000107929	10	855484	977564	ENSG00000107929.10	LARP4B
ENSG00000107937	10	1034338	1065876	ENSG00000107937.14	GTPBP4
ENSG00000107938	10	127408084	127452712	ENSG00000107938.13	EDRF1
ENSG00000107949	10	127512115	127542264	ENSG00000107949.12	BCCIP
ENSG00000107951	10	30598730	30663377	ENSG00000107951.8	MTPAP
ENSG00000107954	10	105253736	105352309	ENSG00000107954.6	NEURL1
ENSG00000107957	10	105348285	105615301	ENSG00000107957.12	SH3PXD2A
ENSG00000107959	10	3179920	3215003	ENSG00000107959.11	PITRM1
ENSG00000107960	10	105642300	105677963	ENSG00000107960.6	OBFC1
ENSG00000107968	10	30722866	30750762	ENSG00000107968.5	MAP3K8
ENSG00000107984	10	54074056	54077802	ENSG00000107984.5	DKK1
ENSG00000108001	10	131633547	131762105	ENSG00000108001.9	EBF3
ENSG00000108010	10	131934663	131982785	ENSG00000108010.7	GLRX3
ENSG00000108018	10	108333421	108924292	ENSG00000108018.11	SORCS1
ENSG00000108021	10	5726801	5805703	ENSG00000108021.15	FAM208B
ENSG00000108039	10	111624524	111683311	ENSG00000108039.13	XPNPEP1
ENSG00000108055	10	112327449	112364394	ENSG00000108055.9	SMC3
ENSG00000108061	10	112679301	112773425	ENSG00000108061.7	SHOC2
ENSG00000108064	10	60144782	60158981	ENSG00000108064.6	TFAM
ENSG00000108091	10	61548521	61666414	ENSG00000108091.10	CCDC6
ENSG00000108094	10	35297479	35379570	ENSG00000108094.10	CUL2
ENSG00000108100	10	35535953	35860852	ENSG00000108100.13	CCNY
ENSG00000108106	19	55912652	55919145	ENSG00000108106.9	UBE2S
ENSG00000108107	19	55896713	55914612	ENSG00000108107.8	RPL28
ENSG00000108175	10	80828792	81076276	ENSG00000108175.12	ZMIZ1
ENSG00000108176	10	69556427	69597924	ENSG00000108176.10	DNAJC12
ENSG00000108179	10	81107225	81115093	ENSG00000108179.9	PPIF
ENSG00000108187	10	70042417	70092806	ENSG00000108187.11	PBLD
ENSG00000108219	10	82213922	82292879	ENSG00000108219.10	TSPAN14
ENSG00000108231	10	95517566	95557916	ENSG00000108231.7	LGI1
ENSG00000108239	10	96162261	96295687	ENSG00000108239.8	TBC1D12
ENSG00000108242	10	96443251	96495947	ENSG00000108242.8	CYP2C18
ENSG00000108244	17	39078948	39093886	ENSG00000108244.12	KRT23
ENSG00000108255	17	27573881	27581512	ENSG00000108255.3	CRYBA1
ENSG00000108256	17	27582854	27621136	ENSG00000108256.4	NUFIP2
ENSG00000108262	17	27900487	27921072	ENSG00000108262.11	GIT1
ENSG00000108264	17	35766965	35839835	ENSG00000108264.12	TADA2A
ENSG00000108270	17	35306175	35414171	ENSG00000108270.6	AATF
ENSG00000108272	17	34948228	34957235	ENSG00000108272.9	DHRS11
ENSG00000108278	17	34842473	34855154	ENSG00000108278.7	ZNHIT3
ENSG00000108292	17	36861795	36886056	ENSG00000108292.12	MLLT6
ENSG00000108294	17	36908989	36920484	ENSG00000108294.4	PSMB3
ENSG00000108296	17	36956687	36981734	ENSG00000108296.7	CWC25
ENSG00000108298	17	37356536	37360980	ENSG00000108298.5	RPL19
ENSG00000108306	17	37415384	37558776	ENSG00000108306.7	FBXL20
ENSG00000108309	17	42385781	42396039	ENSG00000108309.8	RUNDC3A
ENSG00000108312	17	42282401	42298994	ENSG00000108312.10	UBTF
ENSG00000108342	17	38171614	38174066	ENSG00000108342.8	CSF3
ENSG00000108344	17	38137050	38154213	ENSG00000108344.10	PSMD3
ENSG00000108349	17	38296571	38328436	ENSG00000108349.10	CASC3
ENSG00000108352	17	38333263	38351908	ENSG00000108352.7	RAPGEFL1
ENSG00000108370	17	63133549	63223821	ENSG00000108370.11	RGS9
ENSG00000108375	17	56429861	56494956	ENSG00000108375.8	RNF43
ENSG00000108379	17	44839872	44910520	ENSG00000108379.5	WNT3
ENSG00000108381	17	3375668	3406713	ENSG00000108381.6	ASPA
ENSG00000108384	17	56769934	56811703	ENSG00000108384.10	RAD51C
ENSG00000108387	17	56597611	56618179	ENSG00000108387.10	SEPT4
ENSG00000108389	17	56566898	56595266	ENSG00000108389.5	MTMR4
ENSG00000108395	17	57059999	57184282	ENSG00000108395.9	TRIM37
ENSG00000108405	17	3799886	3819794	ENSG00000108405.3	P2RX1
ENSG00000108406	17	57642886	57685706	ENSG00000108406.5	DHX40
ENSG00000108417	17	39577005	39580775	ENSG00000108417.3	KRT37
ENSG00000108423	17	57936851	57970304	ENSG00000108423.10	TUBD1
ENSG00000108424	17	45726842	45762871	ENSG00000108424.5	KPNB1
ENSG00000108433	17	45000483	45105003	ENSG00000108433.11	GOSR2
ENSG00000108439	17	46018872	46025654	ENSG00000108439.5	PNPO
ENSG00000108443	17	57970447	58027925	ENSG00000108443.9	RPS6KB1
ENSG00000108448	17	18601311	18639431	ENSG00000108448.16	TRIM16L
ENSG00000108465	17	46045176	46059140	ENSG00000108465.10	CDK5RAP3
ENSG00000108468	17	46147414	46178883	ENSG00000108468.10	CBX1
ENSG00000108469	17	73622925	73663269	ENSG00000108469.10	RECQL5
ENSG00000108474	17	16120505	16252115	ENSG00000108474.12	PIGL
ENSG00000108479	17	73747675	73761792	ENSG00000108479.7	GALK1
ENSG00000108506	17	59942731	60005377	ENSG00000108506.7	INTS2
ENSG00000108509	17	4871287	4890960	ENSG00000108509.16	CAMTA2
ENSG00000108510	17	60019966	60142643	ENSG00000108510.5	MED13
ENSG00000108511	17	46671639	46682354	ENSG00000108511.8	HOXB6
ENSG00000108515	17	4851387	4860426	ENSG00000108515.13	ENO3
ENSG00000108518	17	4848947	4852356	ENSG00000108518.7	PFN1
ENSG00000108523	17	4843303	4848517	ENSG00000108523.11	RNF167
ENSG00000108528	17	4840425	4843546	ENSG00000108528.9	SLC25A11
ENSG00000108551	17	17397751	17399709	ENSG00000108551.4	RASD1
ENSG00000108556	17	4801069	4806369	ENSG00000108556.7	CHRNE
ENSG00000108557	17	17584787	17714767	ENSG00000108557.13	RAI1
ENSG00000108559	17	5264258	5323480	ENSG00000108559.7	NUP88
ENSG00000108561	17	5336097	5352150	ENSG00000108561.4	C1QBP
ENSG00000108576	17	28521337	28563020	ENSG00000108576.5	SLC6A4
ENSG00000108578	17	28575218	28619074	ENSG00000108578.10	BLMH
ENSG00000108582	17	28705923	28797007	ENSG00000108582.7	CPD
ENSG00000108587	17	28804380	28854610	ENSG00000108587.10	GOSR1
ENSG00000108588	17	61822610	61853711	ENSG00000108588.9	CCDC47
ENSG00000108590	17	6546635	6554954	ENSG00000108590.6	MED31
ENSG00000108591	17	17991200	18011285	ENSG00000108591.5	DRG2
ENSG00000108592	17	61896793	61907372	ENSG00000108592.12	FTSJ3
ENSG00000108599	17	19807615	19881656	ENSG00000108599.10	AKAP10
ENSG00000108602	17	19641297	19652256	ENSG00000108602.13	ALDH3A1
ENSG00000108604	17	61909444	61920425	ENSG00000108604.11	SMARCD2
ENSG00000108622	17	62079954	62097994	ENSG00000108622.6	ICAM2
ENSG00000108639	17	76164639	76169608	ENSG00000108639.3	SYNGR2
ENSG00000108641	17	19240867	19281495	ENSG00000108641.10	B9D1
ENSG00000108651	17	30187923	30228784	ENSG00000108651.5	UTP6
ENSG00000108654	17	62495734	62504317	ENSG00000108654.7	DDX5
ENSG00000108666	17	30651584	30677042	ENSG00000108666.5	C17orf75
ENSG00000108669	17	76670130	76778379	ENSG00000108669.12	CYTH1
ENSG00000108671	17	30771279	30810336	ENSG00000108671.5	PSMD11
ENSG00000108679	17	76967320	76976191	ENSG00000108679.8	LGALS3BP
ENSG00000108684	17	31340105	32501983	ENSG00000108684.10	ASIC2
ENSG00000108688	17	32597240	32599261	ENSG00000108688.7	CCL7
ENSG00000108691	17	32582304	32584222	ENSG00000108691.5	CCL2
ENSG00000108700	17	32646055	32648421	ENSG00000108700.4	CCL8
ENSG00000108702	17	32687347	32690250	ENSG00000108702.3	CCL1
ENSG00000108733	17	33901814	33905882	ENSG00000108733.5	PEX12
ENSG00000108753	17	36046435	36105237	ENSG00000108753.8	HNF1B
ENSG00000108759	17	39616063	39623681	ENSG00000108759.3	KRT32
ENSG00000108771	17	40253422	40264751	ENSG00000108771.8	DHX58
ENSG00000108773	17	40265126	40273376	ENSG00000108773.6	KAT2A
ENSG00000108774	17	40276994	40307035	ENSG00000108774.10	RAB5C
ENSG00000108784	17	40688190	40696467	ENSG00000108784.5	NAGLU
ENSG00000108786	17	40701232	40707231	ENSG00000108786.6	HSD17B1
ENSG00000108788	17	40719086	40725257	ENSG00000108788.7	MLX
ENSG00000108797	17	40834631	40851832	ENSG00000108797.7	CNTNAP1
ENSG00000108798	17	47287589	47300587	ENSG00000108798.4	ABI3
ENSG00000108799	17	40852293	40897071	ENSG00000108799.8	EZH1
ENSG00000108813	17	48046334	48052321	ENSG00000108813.9	DLX4
ENSG00000108819	17	48211104	48227991	ENSG00000108819.9	PPP1R9B
ENSG00000108821	17	48260650	48278993	ENSG00000108821.9	COL1A1
ENSG00000108823	17	48241575	48253292	ENSG00000108823.11	SGCA
ENSG00000108826	17	48445218	48450575	ENSG00000108826.11	MRPL27
ENSG00000108828	17	41166622	41177140	ENSG00000108828.11	VAT1
ENSG00000108829	17	48452420	48474914	ENSG00000108829.9	LRRC59
ENSG00000108830	17	41177258	41184057	ENSG00000108830.7	RND2
ENSG00000108839	17	6899384	6914055	ENSG00000108839.7	ALOX12
ENSG00000108840	17	42154114	42201070	ENSG00000108840.11	HDAC5
ENSG00000108846	17	48712138	48769613	ENSG00000108846.11	ABCC3
ENSG00000108848	17	48796905	48833574	ENSG00000108848.11	LUC7L3
ENSG00000108849	17	42018172	42019836	ENSG00000108849.3	PPY
ENSG00000108852	17	41952725	41987068	ENSG00000108852.10	MPP2
ENSG00000108854	17	62538413	62658186	ENSG00000108854.11	SMURF2
ENSG00000108861	17	41843489	41856356	ENSG00000108861.4	DUSP3
ENSG00000108878	17	65040706	65052909	ENSG00000108878.3	CACNG1
ENSG00000108883	17	42927311	42977030	ENSG00000108883.8	EFTUD2
ENSG00000108924	17	53342373	53402426	ENSG00000108924.9	HLF
ENSG00000108932	17	66263167	66287408	ENSG00000108932.7	SLC16A6
ENSG00000108946	17	66507921	66547460	ENSG00000108946.10	PRKAR1A
ENSG00000108947	17	7608520	7614696	ENSG00000108947.4	EFNB3
ENSG00000108950	17	66531254	66597530	ENSG00000108950.7	FAM20A
ENSG00000108953	17	1247566	1303672	ENSG00000108953.12	YWHAE
ENSG00000108960	17	53469974	53499353	ENSG00000108960.3	MMD
ENSG00000108961	17	8191815	8193410	ENSG00000108961.9	RANGRF
ENSG00000108963	17	1933404	1946724	ENSG00000108963.13	DPH1
ENSG00000108984	17	67410839	67539472	ENSG00000108984.9	MAP2K6
ENSG00000109016	17	21026677	21096578	ENSG00000109016.13	DHRS7B
ENSG00000109046	17	25621102	25640657	ENSG00000109046.10	WSB1
ENSG00000109047	17	9799637	9808938	ENSG00000109047.7	RCVRN
ENSG00000109061	17	10395624	10421860	ENSG00000109061.9	MYH1
ENSG00000109062	17	72744791	72765492	ENSG00000109062.5	SLC9A3R1
ENSG00000109063	17	10531843	10560626	ENSG00000109063.10	MYH3
ENSG00000109065	17	72766686	72772506	ENSG00000109065.7	NAT9
ENSG00000109066	17	72772622	72835918	ENSG00000109066.9	TMEM104
ENSG00000109072	17	26691290	26700110	ENSG00000109072.9	VTN
ENSG00000109079	17	26662628	26674035	ENSG00000109079.5	TNFAIP1
ENSG00000109083	17	26655352	26662515	ENSG00000109083.9	IFT20
ENSG00000109084	17	26646121	26655707	ENSG00000109084.9	TMEM97
ENSG00000109089	17	72983727	73001895	ENSG00000109089.7	CDR2L
ENSG00000109099	17	15133095	15168643	ENSG00000109099.9	PMP22
ENSG00000109101	17	26833261	26865914	ENSG00000109101.3	FOXN1
ENSG00000109103	17	26873725	26879686	ENSG00000109103.7	UNC119
ENSG00000109107	17	26900133	26904282	ENSG00000109107.9	ALDOC
ENSG00000109111	17	26989109	27029697	ENSG00000109111.10	SUPT6H
ENSG00000109113	17	27041299	27045447	ENSG00000109113.13	RAB34
ENSG00000109118	17	27232268	27278789	ENSG00000109118.9	PHF12
ENSG00000109132	4	41746099	41750987	ENSG00000109132.5	PHOX2B
ENSG00000109133	4	41937137	41962589	ENSG00000109133.8	TMEM33
ENSG00000109158	4	46920917	46996424	ENSG00000109158.6	GABRA4
ENSG00000109163	4	68605046	68620078	ENSG00000109163.6	GNRHR
ENSG00000109171	4	48343339	48428229	ENSG00000109171.10	SLAIN2
ENSG00000109180	4	48807229	48863834	ENSG00000109180.10	OCIAD1
ENSG00000109181	4	69681711	69696914	ENSG00000109181.7	UGT2B10
ENSG00000109182	4	48988264	49064098	ENSG00000109182.7	CWH43
ENSG00000109184	4	52709166	52783003	ENSG00000109184.10	DCUN1D4
ENSG00000109189	4	53457138	53525502	ENSG00000109189.8	USP46
ENSG00000109193	4	70676498	70725870	ENSG00000109193.6	SULT1E1
ENSG00000109205	4	71062213	71070293	ENSG00000109205.12	ODAM
ENSG00000109208	4	71226478	71232875	ENSG00000109208.4	SMR3A
ENSG00000109220	4	54875956	54930857	ENSG00000109220.6	CHIC2
ENSG00000109255	4	56461396	56502865	ENSG00000109255.7	NMU
ENSG00000109265	4	57036361	57194791	ENSG00000109265.8	KIAA1211
ENSG00000109270	4	100799493	100815647	ENSG00000109270.8	LAMTOR3
ENSG00000109272	4	74718906	74719872	ENSG00000109272.3	PF4V1
ENSG00000109320	4	103422486	103538459	ENSG00000109320.7	NFKB1
ENSG00000109321	4	75310851	75320726	ENSG00000109321.6	AREG
ENSG00000109323	4	103552660	103682151	ENSG00000109323.4	MANBA
ENSG00000109332	4	103715540	103790053	ENSG00000109332.15	UBE2D3
ENSG00000109339	4	86936276	87515284	ENSG00000109339.14	MAPK10
ENSG00000109381	4	139949266	140098372	ENSG00000109381.15	ELF2
ENSG00000109390	4	140188034	140223705	ENSG00000109390.7	NDUFC1
ENSG00000109424	4	141480588	141489959	ENSG00000109424.3	UCP1
ENSG00000109436	4	141541919	141677274	ENSG00000109436.7	TBC1D9
ENSG00000109445	4	142142041	142155851	ENSG00000109445.6	ZNF330
ENSG00000109452	4	142944313	143768585	ENSG00000109452.8	INPP4B
ENSG00000109458	4	144257915	144395721	ENSG00000109458.4	GAB1
ENSG00000109466	4	166128770	166244308	ENSG00000109466.9	KLHL2
ENSG00000109472	4	166282346	166419472	ENSG00000109472.9	CPE
ENSG00000109475	4	109541722	109551568	ENSG00000109475.12	RPL34
ENSG00000109501	4	6271576	6304992	ENSG00000109501.9	WFS1
ENSG00000109511	4	169013666	169108841	ENSG00000109511.6	ANXA10
ENSG00000109519	4	7060633	7069924	ENSG00000109519.8	GRPEL1
ENSG00000109534	4	110736666	110745893	ENSG00000109534.12	GAR1
ENSG00000109536	4	190861943	190884359	ENSG00000109536.7	FRG1
ENSG00000109572	4	170533784	170644824	ENSG00000109572.9	CLCN3
ENSG00000109576	4	170981373	171012850	ENSG00000109576.9	AADAT
ENSG00000109586	4	174089904	174245118	ENSG00000109586.7	GALNT7
ENSG00000109606	4	24519064	24586173	ENSG00000109606.8	DHX15
ENSG00000109610	4	24791534	24802464	ENSG00000109610.5	SOD3
ENSG00000109618	4	25121627	25162204	ENSG00000109618.7	SEPSECS
ENSG00000109625	4	8594387	8621488	ENSG00000109625.14	CPZ
ENSG00000109654	4	154073494	154260472	ENSG00000109654.10	TRIM2
ENSG00000109667	4	9772777	10056560	ENSG00000109667.7	SLC2A9
ENSG00000109670	4	153242410	153457253	ENSG00000109670.9	FBXW7
ENSG00000109674	4	178230990	178284097	ENSG00000109674.3	NEIL3
ENSG00000109680	4	26578059	26756973	ENSG00000109680.6	TBC1D19
ENSG00000109684	4	10488019	10686489	ENSG00000109684.10	CLNK
ENSG00000109685	4	1873151	1983934	ENSG00000109685.13	WHSC1
ENSG00000109686	4	152023903	152246784	ENSG00000109686.12	SH3D19
ENSG00000109689	4	26859300	27027003	ENSG00000109689.10	STIM2
ENSG00000109705	4	13542454	13546674	ENSG00000109705.7	NKX3-2
ENSG00000109736	4	2932288	2936586	ENSG00000109736.10	MFSD10
ENSG00000109738	4	157997209	158093242	ENSG00000109738.6	GLRB
ENSG00000109743	4	15704573	15739936	ENSG00000109743.6	BST1
ENSG00000109756	4	160025330	160281321	ENSG00000109756.4	RAPGEF2
ENSG00000109758	4	3443614	3451211	ENSG00000109758.4	HGFAC
ENSG00000109762	4	186125391	186291339	ENSG00000109762.11	SNX25
ENSG00000109771	4	186285032	186317053	ENSG00000109771.11	LRP2BP
ENSG00000109775	4	186320694	186347139	ENSG00000109775.6	UFSP2
ENSG00000109790	4	39046659	39128477	ENSG00000109790.12	KLHL5
ENSG00000109794	4	187025573	187093821	ENSG00000109794.9	FAM149A
ENSG00000109805	4	17812525	17846485	ENSG00000109805.5	NCAPG
ENSG00000109814	4	39500375	39529931	ENSG00000109814.7	UGDH
ENSG00000109819	4	23756664	23905712	ENSG00000109819.4	PPARGC1A
ENSG00000109832	11	125773271	125793158	ENSG00000109832.8	DDX25
ENSG00000109846	11	111779289	111794446	ENSG00000109846.3	CRYAB
ENSG00000109851	11	20177701	20182159	ENSG00000109851.5	DBX1
ENSG00000109854	11	20385231	20405329	ENSG00000109854.9	HTATIP2
ENSG00000109861	11	88026760	88070955	ENSG00000109861.11	CTSC
ENSG00000109881	11	27352374	27385415	ENSG00000109881.12	CCDC34
ENSG00000109906	11	113930315	114121398	ENSG00000109906.9	ZBTB16
ENSG00000109911	11	31531297	31805546	ENSG00000109911.13	ELP4
ENSG00000109917	11	116648436	116658766	ENSG00000109917.6	ZNF259
ENSG00000109919	11	47638867	47664175	ENSG00000109919.5	MTCH2
ENSG00000109920	11	47738072	47788995	ENSG00000109920.8	FNBP4
ENSG00000109927	11	120971882	121062202	ENSG00000109927.5	TECTA
ENSG00000109929	11	121163162	121179403	ENSG00000109929.5	SC5D
ENSG00000109943	11	122709208	122743347	ENSG00000109943.4	CRTAM
ENSG00000109944	11	122753391	122830506	ENSG00000109944.6	C11orf63
ENSG00000109956	11	134248398	134281812	ENSG00000109956.8	B3GAT1
ENSG00000109971	11	122928197	122933938	ENSG00000109971.9	HSPA8
ENSG00000109991	11	57105848	57138073	ENSG00000109991.4	P2RX3
ENSG00000110002	11	123986069	124018428	ENSG00000110002.11	VWA5A
ENSG00000110011	11	63997750	64001758	ENSG00000110011.9	DNAJC4
ENSG00000110013	11	124503009	124565603	ENSG00000110013.8	SIAE
ENSG00000110025	11	64794880	64808044	ENSG00000110025.8	SNX15
ENSG00000110031	11	58294344	58345693	ENSG00000110031.8	LPXN
ENSG00000110042	11	58938903	58976060	ENSG00000110042.3	DTX4
ENSG00000110046	11	64662007	64684722	ENSG00000110046.8	ATG2A
ENSG00000110047	11	64619114	64655768	ENSG00000110047.13	EHD1
ENSG00000110048	11	59341871	59383617	ENSG00000110048.7	OSBP
ENSG00000110057	11	67758575	67772452	ENSG00000110057.3	UNC93B1
ENSG00000110060	11	125763381	125773116	ENSG00000110060.4	PUS3
ENSG00000110063	11	126173647	126215644	ENSG00000110063.4	DCPS
ENSG00000110066	11	67922330	67981295	ENSG00000110066.10	SUV420H1
ENSG00000110074	11	126138950	126148026	ENSG00000110074.6	FOXRED1
ENSG00000110075	11	68228186	68382802	ENSG00000110075.10	PPP6R3
ENSG00000110076	11	64373646	64490660	ENSG00000110076.14	NRXN2
ENSG00000110077	11	59939081	59952139	ENSG00000110077.10	MS4A6A
ENSG00000110079	11	60048014	60076445	ENSG00000110079.12	MS4A4A
ENSG00000110080	11	126225535	126310239	ENSG00000110080.14	ST3GAL4
ENSG00000110090	11	68522088	68611878	ENSG00000110090.8	CPT1A
ENSG00000110092	11	69455855	69469242	ENSG00000110092.3	CCND1
ENSG00000110104	11	60609544	60618554	ENSG00000110104.7	CCDC86
ENSG00000110107	11	60658202	60674060	ENSG00000110107.4	PRPF19
ENSG00000110108	11	60681346	60690915	ENSG00000110108.5	TMEM109
ENSG00000110148	11	6280966	6293357	ENSG00000110148.5	CCKBR
ENSG00000110169	11	6452279	6463847	ENSG00000110169.6	HPX
ENSG00000110171	11	6469843	6495689	ENSG00000110171.14	TRIM3
ENSG00000110172	11	89934328	89956532	ENSG00000110172.7	CHORDC1
ENSG00000110195	11	71900602	71907345	ENSG00000110195.7	FOLR1
ENSG00000110200	11	71817424	71823826	ENSG00000110200.4	ANAPC15
ENSG00000110203	11	71825915	71850936	ENSG00000110203.4	FOLR3
ENSG00000110218	11	93862094	93915138	ENSG00000110218.4	PANX1
ENSG00000110237	11	73019334	73080136	ENSG00000110237.3	ARHGEF17
ENSG00000110243	11	116660083	116663136	ENSG00000110243.7	APOA5
ENSG00000110244	11	116691419	116694022	ENSG00000110244.5	APOA4
ENSG00000110245	11	116700422	116703788	ENSG00000110245.7	APOC3
ENSG00000110274	11	117185273	117283984	ENSG00000110274.10	CEP164
ENSG00000110315	11	10533225	10562777	ENSG00000110315.2	RNF141
ENSG00000110318	11	101785746	101871789	ENSG00000110318.9	KIAA1377
ENSG00000110321	11	10818597	10830657	ENSG00000110321.11	EIF4G2
ENSG00000110324	11	117857063	117872196	ENSG00000110324.5	IL10RA
ENSG00000110328	11	11292423	11643552	ENSG00000110328.5	GALNT18
ENSG00000110330	11	102217942	102249401	ENSG00000110330.4	BIRC2
ENSG00000110344	11	118230300	118269926	ENSG00000110344.5	UBE4A
ENSG00000110367	11	118620034	118661858	ENSG00000110367.7	DDX6
ENSG00000110375	11	118795873	118829269	ENSG00000110375.2	UPK2
ENSG00000110395	11	119076752	119178859	ENSG00000110395.4	CBL
ENSG00000110400	11	119494120	119599794	ENSG00000110400.6	PVRL1
ENSG00000110422	11	33278218	33378569	ENSG00000110422.7	HIPK3
ENSG00000110427	11	33563618	33695648	ENSG00000110427.10	KIAA1549L
ENSG00000110429	11	33762485	33796089	ENSG00000110429.9	FBXO3
ENSG00000110435	11	34937376	35042138	ENSG00000110435.7	PDHX
ENSG00000110436	11	35272753	35441610	ENSG00000110436.7	SLC1A2
ENSG00000110442	11	36295051	36310999	ENSG00000110442.7	COMMD9
ENSG00000110446	11	60704556	60720002	ENSG00000110446.5	SLC15A3
ENSG00000110448	11	60869867	60895324	ENSG00000110448.6	CD5
ENSG00000110455	11	44087475	44105772	ENSG00000110455.9	ACCS
ENSG00000110484	11	62037627	62040628	ENSG00000110484.6	SCGB2A2
ENSG00000110492	11	46402306	46405375	ENSG00000110492.11	MDK
ENSG00000110497	11	46417964	46615675	ENSG00000110497.10	AMBRA1
ENSG00000110514	11	47290712	47351582	ENSG00000110514.14	MADD
ENSG00000110536	11	47586982	47595013	ENSG00000110536.9	PTPMT1
ENSG00000110583	11	63706431	63724800	ENSG00000110583.8	NAA40
ENSG00000110619	11	3022152	3078843	ENSG00000110619.12	CARS
ENSG00000110628	11	2920951	2946476	ENSG00000110628.9	SLC22A18
ENSG00000110651	11	2397407	2418649	ENSG00000110651.7	CD81
ENSG00000110660	11	107661717	107799019	ENSG00000110660.10	SLC35F2
ENSG00000110675	11	107461817	107537505	ENSG00000110675.8	ELMOD1
ENSG00000110680	11	14988214	14993900	ENSG00000110680.8	CALCA
ENSG00000110693	11	15987995	16761138	ENSG00000110693.11	SOX6
ENSG00000110696	11	16634679	16778428	ENSG00000110696.5	C11orf58
ENSG00000110697	11	67259239	67273734	ENSG00000110697.8	PITPNM1
ENSG00000110700	11	17095936	17099334	ENSG00000110700.2	RPS13
ENSG00000110711	11	67250512	67258574	ENSG00000110711.5	AIP
ENSG00000110713	11	3692313	3819022	ENSG00000110713.11	NUP98
ENSG00000110717	11	67798084	67804111	ENSG00000110717.6	NDUFS8
ENSG00000110719	11	67806483	67818362	ENSG00000110719.5	TCIRG1
ENSG00000110721	11	67820326	67888911	ENSG00000110721.7	CHKA
ENSG00000110723	11	108376158	108464465	ENSG00000110723.7	EXPH5
ENSG00000110756	11	18300223	18343745	ENSG00000110756.13	HPS5
ENSG00000110768	11	18343842	18388591	ENSG00000110768.7	GTF2H1
ENSG00000110777	11	111222977	111326355	ENSG00000110777.7	POU2AF1
ENSG00000110786	11	18749475	18814268	ENSG00000110786.13	PTPN5
ENSG00000110799	12	6058040	6233936	ENSG00000110799.9	VWF
ENSG00000110801	12	122326637	122356203	ENSG00000110801.9	PSMD9
ENSG00000110811	12	6937572	6949018	ENSG00000110811.15	LEPREL2
ENSG00000110841	12	27676364	27848497	ENSG00000110841.9	PPFIBP1
ENSG00000110844	12	49962001	50038449	ENSG00000110844.9	PRPF40B
ENSG00000110848	12	9905082	9913497	ENSG00000110848.4	CD69
ENSG00000110851	12	108126643	108155049	ENSG00000110851.7	PRDM4
ENSG00000110852	12	10005583	10022735	ENSG00000110852.4	CLEC2B
ENSG00000110871	12	120941077	120972237	ENSG00000110871.10	COQ5
ENSG00000110876	12	109015686	109027735	ENSG00000110876.8	SELPLG
ENSG00000110880	12	109038885	109125372	ENSG00000110880.6	CORO1C
ENSG00000110881	12	50451331	50477394	ENSG00000110881.7	ASIC1
ENSG00000110887	12	109252708	109294819	ENSG00000110887.3	DAO
ENSG00000110888	12	30862486	30907885	ENSG00000110888.13	CAPRIN2
ENSG00000110900	12	31079362	31149534	ENSG00000110900.10	TSPAN11
ENSG00000110906	12	109886461	109915349	ENSG00000110906.8	KCTD10
ENSG00000110911	12	51373184	51422349	ENSG00000110911.10	SLC11A2
ENSG00000110917	12	121124672	121139667	ENSG00000110917.3	MLEC
ENSG00000110921	12	110011060	110035067	ENSG00000110921.7	MVK
ENSG00000110925	12	51454990	51477447	ENSG00000110925.2	CSRNP2
ENSG00000110931	12	121675497	121736111	ENSG00000110931.14	CAMKK2
ENSG00000110934	12	51674822	51718452	ENSG00000110934.6	BIN2
ENSG00000110944	12	56732663	56734193	ENSG00000110944.4	IL23A
ENSG00000110955	12	57031959	57039798	ENSG00000110955.4	ATP5B
ENSG00000110958	12	57057127	57082159	ENSG00000110958.11	PTGES3
ENSG00000110975	12	33527173	33592754	ENSG00000110975.4	SYT10
ENSG00000110987	12	122457328	122499948	ENSG00000110987.4	BCL7A
ENSG00000111011	12	122989190	123011547	ENSG00000111011.13	RSRC2
ENSG00000111012	12	58156117	58162769	ENSG00000111012.5	CYP27B1
ENSG00000111046	12	81101277	81103253	ENSG00000111046.3	MYF6
ENSG00000111049	12	81110691	81113452	ENSG00000111049.3	MYF5
ENSG00000111052	12	81186299	81331704	ENSG00000111052.3	LIN7A
ENSG00000111057	12	53342655	53346685	ENSG00000111057.6	KRT18
ENSG00000111058	12	81331594	81650533	ENSG00000111058.3	ACSS3
ENSG00000111077	12	53440753	53458156	ENSG00000111077.13	TENC1
ENSG00000111087	12	57853918	57866045	ENSG00000111087.5	GLI1
ENSG00000111110	12	63037762	63328817	ENSG00000111110.7	PPM1H
ENSG00000111142	12	95867296	95909615	ENSG00000111142.9	METAP2
ENSG00000111144	12	96394606	96437298	ENSG00000111144.5	LTA4H
ENSG00000111145	12	96588160	96663613	ENSG00000111145.3	ELK3
ENSG00000111181	12	299243	323736	ENSG00000111181.8	SLC6A12
ENSG00000111186	12	1639057	1756409	ENSG00000111186.8	WNT5B
ENSG00000111196	12	10758612	10766222	ENSG00000111196.5	MAGOHB
ENSG00000111199	12	110220890	110271212	ENSG00000111199.6	TRPV4
